"artist_name","genre","avg","avg-2","avg-3","avg-4"
"Adrian Sellevoll","dutch rap pop",0.482,0.892,0.513,-7.289
"Adrian Sellevoll",NULL,0.482,0.892,0.513,-7.289
"Adriana Lucia","ecuadorian pop",0.523,0.595,0.328,-8.738
"Adriana Lucia",NULL,0.523,0.595,0.328,-8.738
"Adrianne Lenker","indie pop",0.289,0.412,0.533,-12.953
"Adrianne Lenker",NULL,0.289,0.412,0.533,-12.953
"Adriano Pappalardo","danish pop",0.503,0.292,0.511,-9.057
"Adriano Pappalardo",NULL,0.503,0.292,0.511,-9.057
"Adrinaline","jewish pop",0.8275,0.5940000000000001,0.2645,-2.7015000000000002
"Adrinaline",NULL,0.8275,0.5940000000000001,0.2645,-2.7015000000000002
"Advance Patrol","socal pop punk",0.739,0.653,0.875,-5.649
"Advance Patrol",NULL,0.739,0.653,0.875,-5.649
"Adventurer","persian pop",0.8185,0.49650000000000005,0.21600000000000003,-4.8785
"Adventurer",NULL,0.8185,0.49650000000000005,0.21600000000000003,-4.8785
"Aenor","swedish trap pop",0.127,0.287,0.266,-22.656
"Aenor",NULL,0.127,0.287,0.266,-22.656
"Aera","faroese pop",0.727,0.759,0.319,-9.399
"Aera",NULL,0.727,0.759,0.319,-9.399
"Aeris Roves","latin viral pop",0.435,0.814,0.416,-8.422
"Aeris Roves",NULL,0.435,0.814,0.416,-8.422
"Afar陳侶帆","classic arab pop",0.383,0.666,0.0734,-9.481
"Afar陳侶帆",NULL,0.383,0.666,0.0734,-9.481
"AFC","power-pop punk",0.817,0.8115,0.8255,-5.427
"AFC",NULL,0.817,0.8115,0.8255,-5.427
"Afterlife","norwegian pop rap",0.896,0.402,0.248,-7.116
"Afterlife",NULL,0.896,0.402,0.248,-7.116
"Against All Authority","classic j-pop",0.988,0.383,0.392,-3.056
"Against All Authority",NULL,0.988,0.383,0.392,-3.056
"Agapornis","nz pop",0.559,0.776,0.76,-7.548
"Agapornis",NULL,0.559,0.776,0.76,-7.548
"Agar Agar","indonesian folk pop",0.487,0.915,0.562,-8.853
"Agar Agar",NULL,0.487,0.915,0.562,-8.853
"Ages and Ages","japanese alternative pop",0.472,0.661,0.711,-9.29
"Ages and Ages",NULL,0.472,0.661,0.711,-9.29
"Agnes","pop urbaine",0.923,0.621,0.716,-3.124
"Agnes",NULL,0.923,0.621,0.716,-3.124
"Ah Ni (Angeline Xiao Ni Ni) 阿妮 (小妮妮)","bhutanese pop",0.9349999999999999,0.6323333333333333,0.8813333333333334,-1.9880000000000002
"Ah Ni (Angeline Xiao Ni Ni) 阿妮 (小妮妮)",NULL,0.9349999999999999,0.6323333333333333,0.8813333333333334,-1.9880000000000002
"Ahdam","socal pop punk",0.57,0.769,0.385,-9.931
"Ahdam",NULL,0.57,0.769,0.385,-9.931
"Ahmed Al Harmi","classic belgian pop",0.814,0.411,0.697,-3.475
"Ahmed Al Harmi",NULL,0.814,0.411,0.697,-3.475
"Ahmed Soultan","pop electronico",0.557,0.714,0.746,-6.676
"Ahmed Soultan",NULL,0.557,0.714,0.746,-6.676
"Aidan Martin","uk pop",0.588,0.624,0.426,-7.23
"Aidan Martin",NULL,0.588,0.624,0.426,-7.23
"AIELLO","italian pop",0.888,0.697,0.582,-5.009
"AIELLO",NULL,0.888,0.697,0.582,-5.009
"Aimee Mann","canadian pop",0.346,0.616,0.344,-10.438
"Aimee Mann",NULL,0.346,0.616,0.344,-10.438
"Air Traffic Controller","folk-pop",0.727,0.621,0.636,-5.529
"Air Traffic Controller",NULL,0.727,0.621,0.636,-5.529
"Airiel","dream pop",0.945,0.187,0.461,-6.332
"Airiel",NULL,0.945,0.187,0.461,-6.332
"AJ Mitchell","pop",0.443,0.692,0.363,-5.671
"AJ Mitchell",NULL,0.443,0.692,0.363,-5.671
"Ajebutter22","irish pop",0.637,0.739,0.763,-6.545
"Ajebutter22",NULL,0.637,0.739,0.763,-6.545
"Ajith Kumar","tibetan pop",0.517,0.817,0.777,-12.984
"Ajith Kumar",NULL,0.517,0.817,0.777,-12.984
"Akade","persian pop",0.659,0.807,0.666,-3.714
"Akade",NULL,0.659,0.807,0.666,-3.714
"AKI","socal pop punk",0.784,0.812,0.76,-5.642
"AKI",NULL,0.784,0.812,0.76,-5.642
"Aki Takahashi","uk pop punk",0.000885,0.383,0.108,-31.958
"Aki Takahashi",NULL,0.000885,0.383,0.108,-31.958
"Akim","sertanejo pop",0.608,0.57,0.378,-5.771
"Akim",NULL,0.608,0.57,0.378,-5.771
"Akira Ifukube","south african pop",0.8089999999999999,0.517,0.405,-9.099
"Akira Ifukube",NULL,0.8089999999999999,0.517,0.405,-9.099
"Akira Miyoshi","classic konkani pop",0.229,0.333,0.0383,-13.64
"Akira Miyoshi",NULL,0.229,0.333,0.0383,-13.64
"Akon","dance pop",0.77,0.756,0.73,-3.502
"Akon","italian indie pop",0.585,0.549,0.327,-9.181
"Akon",NULL,0.6775,0.6525000000000001,0.5285,-6.3415
"Al Green","indie poptimism",0.397,0.756,0.507,-10.701
"Al Green",NULL,0.397,0.756,0.507,-10.701
"Al Hirt","french pop",0.789,0.419,0.843,-7.181
"Al Hirt",NULL,0.789,0.419,0.843,-7.181
"Al Lover","classic italian pop",0.792,0.393,0.292,-6.796
"Al Lover",NULL,0.792,0.393,0.292,-6.796
"Alain Altinoglu","tajik pop",0.0426,0.3435,0.07669999999999999,-27.1695
"Alain Altinoglu",NULL,0.0426,0.3435,0.07669999999999999,-27.1695
"Alain Pérez","sierra leonean pop",0.674,0.561,0.379,-8.955
"Alain Pérez",NULL,0.674,0.561,0.379,-8.955
"Alaine","pop rock brasileiro",0.729,0.709,0.662,-5.57
"Alaine",NULL,0.729,0.709,0.662,-5.57
"Alan Fitzpatrick","mexican pop",0.903,0.828,0.96,-5.241
"Alan Fitzpatrick",NULL,0.903,0.828,0.96,-5.241
"Alan Silvestri","inuit pop",0.437,0.432,0.461,-11.898
"Alan Silvestri",NULL,0.437,0.432,0.461,-11.898
"Alan Sorrenti","danish pop",0.778,0.677,0.73,-10.157
"Alan Sorrenti",NULL,0.778,0.677,0.73,-10.157
"Alan Walker","dutch rap pop",0.787,0.722,0.852,-4.013
"Alan Walker",NULL,0.787,0.722,0.852,-4.013
"Alan Zimmerman","beninese pop",0.724,0.511,0.745,-7.542
"Alan Zimmerman",NULL,0.724,0.511,0.745,-7.542
"Alaska","classic czech pop",0.884,0.607,0.906,-6.634
"Alaska",NULL,0.884,0.607,0.906,-6.634
"Alaska Y Dinarama","classic czech pop",0.849,0.568,0.809,-10.472
"Alaska Y Dinarama",NULL,0.849,0.568,0.809,-10.472
"Alastair Greene","malayalam pop",0.954,0.216,0.483,-5.659
"Alastair Greene",NULL,0.954,0.216,0.483,-5.659
"Albert Collins","jangle pop",0.695,0.537,0.77,-9.88
"Albert Collins",NULL,0.695,0.537,0.77,-9.88
"Albert Ketèlbey","bangla pop",0.163,0.125,0.0626,-19.099
"Albert Ketèlbey",NULL,0.163,0.125,0.0626,-19.099
"Albert Pla","reunion pop",0.529,0.319,0.316,-8.935
"Albert Pla",NULL,0.529,0.319,0.316,-8.935
"Albert Roussel","kazakh pop",0.1855,0.27659999999999996,0.09405,-20.0005
"Albert Roussel",NULL,0.1855,0.27659999999999996,0.09405,-20.0005
"Alberto Rabagliati","classic italian folk pop",0.2856666666666667,0.519,0.67,-12.371333333333332
"Alberto Rabagliati",NULL,0.2856666666666667,0.519,0.67,-12.371333333333332
"Albin Lee Meldau","swedish pop",0.454,0.515,0.458,-10.119
"Albin Lee Meldau",NULL,0.454,0.515,0.458,-10.119
"Alcazar","pop urbaine",0.927,0.705,0.962,-5.942
"Alcazar",NULL,0.927,0.705,0.962,-5.942
"Alceu Valença","baroque pop",0.898,0.676,0.322,-5.601
"Alceu Valença",NULL,0.898,0.676,0.322,-5.601
"Alcian Blue","pop reggaeton",0.843,0.203,0.396,-4.286
"Alcian Blue",NULL,0.843,0.203,0.396,-4.286
"Aldebert","tamil pop",0.334,0.619,0.297,-12.065
"Aldebert",NULL,0.334,0.619,0.297,-12.065
"Ale Mora","persian pop",0.512,0.631,0.325,-8.911
"Ale Mora",NULL,0.512,0.631,0.325,-8.911
"Alec Windt","swedish trap pop",0.0042,0.431,0.297,-28.444
"Alec Windt",NULL,0.0042,0.431,0.297,-28.444
"Alejandra Jimenez","colombian pop",0.516,0.741,0.695,-10.098
"Alejandra Jimenez",NULL,0.516,0.741,0.695,-10.098
"Alejandro Filio","classic venezuelan pop",0.16820000000000002,0.5725,0.36,-13.019
"Alejandro Filio",NULL,0.16820000000000002,0.5725,0.36,-13.019
"Alejandro Mora","power pop",0.812,0.697,0.736,-5.748
"Alejandro Mora",NULL,0.812,0.697,0.736,-5.748
"Alejandro Moro","beninese pop",0.371,0.517,0.28,-16.743
"Alejandro Moro",NULL,0.371,0.517,0.28,-16.743
"Aleksander Walmann","pakistani pop",0.619,0.67,0.242,-10.306
"Aleksander Walmann",NULL,0.619,0.67,0.242,-10.306
"ALEPH","c-pop",0.555,0.581,0.106,-8.947
"ALEPH",NULL,0.555,0.581,0.106,-8.947
"Alessandra Amoroso","italian pop",0.668,0.691,0.459,-5.953
"Alessandra Amoroso",NULL,0.668,0.691,0.459,-5.953
"Alessandro Scarlatti","deep power-pop punk",0.0977,0.371,0.354,-18.395
"Alessandro Scarlatti","dutch idol pop",0.268,0.471,0.807,-22.733
"Alessandro Scarlatti",NULL,0.18285,0.421,0.5805,-20.564
"Alessio Bax","country pop",0.0435,0.296,0.0302,-29.73
"Alessio Bax",NULL,0.0435,0.296,0.0302,-29.73
"Alex & Daniel","mainland chinese pop",0.701,0.716,0.927,-5.7
"Alex & Daniel",NULL,0.701,0.716,0.927,-5.7
"Alex Aiono","german pop",0.798,0.648,0.399,-5.172
"Alex Aiono",NULL,0.798,0.648,0.399,-5.172
"Alex Ceesay","socal pop punk",0.7,0.779,0.651,-7.917
"Alex Ceesay",NULL,0.7,0.779,0.651,-7.917
"Alex Lahey","chamber pop",0.748,0.539,0.644,-12.191
"Alex Lahey",NULL,0.748,0.539,0.644,-12.191
"Alex Lustig","turkish pop",0.227,0.729,0.132,-16.759
"Alex Lustig",NULL,0.227,0.729,0.132,-16.759
"Alex Metric","german pop",0.752,0.482,0.787,-4.445
"Alex Metric",NULL,0.752,0.482,0.787,-4.445
"Alex Mica","pacific islands pop",0.782,0.71,0.417,-4.671
"Alex Mica",NULL,0.782,0.71,0.417,-4.671
"Alex Mills","german pop",0.856,0.851,0.605,-5.863
"Alex Mills",NULL,0.856,0.851,0.605,-5.863
"Alex Newell","mexican pop",0.757,0.657,0.672,-5.257
"Alex Newell",NULL,0.757,0.657,0.672,-5.257
"Alex Party","spanish pop rock",0.807,0.684,0.921,-10.195
"Alex Party",NULL,0.807,0.684,0.921,-10.195
"Alex Riel","hokkien pop",0.06495,0.34750000000000003,0.09734999999999999,-21.753999999999998
"Alex Riel",NULL,0.06495,0.34750000000000003,0.09734999999999999,-21.753999999999998
"Alex Rose","sertanejo pop",0.71,0.812,0.419,-5.255
"Alex Rose",NULL,0.71,0.812,0.419,-5.255
"Alex Sipiagin","finnish pop punk",0.543,0.581,0.512,-8.65
"Alex Sipiagin",NULL,0.543,0.581,0.512,-8.65
"Alex the Astronaut","chamber pop",0.863,0.622,0.811,-5.912
"Alex the Astronaut",NULL,0.863,0.622,0.811,-5.912
"Alexa Lusader","pakistani pop",0.59,0.496,0.146,-7.197
"Alexa Lusader",NULL,0.59,0.496,0.146,-7.197
"Alexander Abreu","thai teen pop",0.608,0.578,0.663,-8.77
"Alexander Abreu",NULL,0.608,0.578,0.663,-8.77
"Alexander Acha","latin pop",0.559,0.533,0.284,-6.574
"Alexander Acha",NULL,0.559,0.533,0.284,-6.574
"Alexander Borodin","country pop",0.104,0.134,0.0989,-26.546
"Alexander Borodin","dutch idol pop",0.0566,0.238,0.0908,-23.192
"Alexander Borodin",NULL,0.0803,0.186,0.09485,-24.869
"Alexander Glazunov","bangla pop",0.14,0.099,0.0323,-17.55
"Alexander Glazunov",NULL,0.14,0.099,0.0323,-17.55
"Alexander Melnikov","musica popular mineira",0.00228,0.186,0.0392,-38.863
"Alexander Melnikov",NULL,0.00228,0.186,0.0392,-38.863
"Alexander Mickelthwate","slovak pop",0.638,0.383,0.232,-13.4
"Alexander Mickelthwate",NULL,0.638,0.383,0.232,-13.4
"Alexander Paley","musica popular mineira",0.0351,0.365,0.185,-27.763
"Alexander Paley",NULL,0.0351,0.365,0.185,-27.763
"Alexander Scriabin","kazakh pop",0.166,0.194,0.228,-18.093
"Alexander Scriabin","musica popular mineira",0.04,0.226,0.0447,-28.415
"Alexander Scriabin","tajik pop",0.122,0.117,0.0359,-22.16
"Alexander Scriabin",NULL,0.10933333333333334,0.17900000000000002,0.10286666666666666,-22.88933333333333
"Alexio","sertanejo pop",0.7295,0.6565000000000001,0.7585,-5.970000000000001
"Alexio",NULL,0.7295,0.6565000000000001,0.7585,-5.970000000000001
"Alexis Escobar","jazz pop",0.636,0.841,0.957,-3.409
"Alexis Escobar",NULL,0.636,0.841,0.957,-3.409
"Alexis Kossenko","turkmen pop",0.0421,0.229,0.0374,-22.655
"Alexis Kossenko",NULL,0.0421,0.229,0.0374,-22.655
"Alexis Weissenberg","musica popular mineira",0.00597,0.339,0.0353,-27.888
"Alexis Weissenberg",NULL,0.00597,0.339,0.0353,-27.888
"Alfred Schnittke","country pop",0.0348,0.11,0.0314,-22.716
"Alfred Schnittke",NULL,0.0348,0.11,0.0314,-22.716
"Alfredo Casero","k-pop girl group",0.884,0.668,0.767,-4.044
"Alfredo Casero",NULL,0.884,0.668,0.767,-4.044
"Alfredo Catalani","deep power-pop punk",0.14,0.316,0.0767,-15.5765
"Alfredo Catalani",NULL,0.14,0.316,0.0767,-15.5765
"Alfredo Remus","beninese pop",0.655,0.345,0.685,-15.563
"Alfredo Remus",NULL,0.655,0.345,0.685,-15.563
"Ali Barter","chamber pop",0.799,0.467,0.476,-6.503
"Ali Barter",NULL,0.799,0.467,0.476,-6.503
"Ali Gua Gua","sophisti-pop",0.645,0.7445,0.7185,-4.925
"Ali Gua Gua",NULL,0.645,0.7445,0.7185,-4.925
"Ali Riahi","gabonese pop",0.27699999999999997,0.45100000000000007,0.73,-15.607
"Ali Riahi",NULL,0.27699999999999997,0.45100000000000007,0.73,-15.607
"Ali Saber","classic belgian pop",0.6815,0.4625,0.562,-5.248
"Ali Saber",NULL,0.6815,0.4625,0.562,-5.248
"Ali Sethi","pinoy pop punk",0.52,0.634,0.47,-6.171
"Ali Sethi",NULL,0.52,0.634,0.47,-6.171
"Aliboria","glitch pop",0.626,0.739,0.499,-9.974
"Aliboria",NULL,0.626,0.739,0.499,-9.974
"Alice","danish pop",0.321,0.588,0.562,-16.596
"Alice",NULL,0.321,0.588,0.562,-16.596
"Alice Phoebe Lou","moroccan pop",0.719,0.576,0.729,-5.749
"Alice Phoebe Lou",NULL,0.719,0.576,0.729,-5.749
"Alice Russell","j-poprock",0.641,0.652,0.651,-9.636
"Alice Russell","pop flamenco",0.942,0.692,0.882,-3.614
"Alice Russell",NULL,0.7915,0.6719999999999999,0.7665,-6.625
"Alina","sophisti-pop",0.596,0.929,0.329,-4.723
"Alina",NULL,0.596,0.929,0.329,-4.723
"Aline Barros","korean pop",0.524,0.453,0.179,-6.213
"Aline Barros",NULL,0.524,0.453,0.179,-6.213
"Alison Hinds","italian indie pop",0.9106666666666667,0.672,0.6593333333333333,-4.1433333333333335
"Alison Hinds",NULL,0.9106666666666667,0.672,0.6593333333333333,-4.1433333333333335
"Alison Limerick","spanish pop rock",0.548,0.702,0.759,-10.817
"Alison Limerick",NULL,0.548,0.702,0.759,-10.817
"Alka Yagnik","spanish pop",0.6677500000000001,0.633,0.6327499999999999,-8.3035
"Alka Yagnik",NULL,0.6677500000000001,0.633,0.6327499999999999,-8.3035
"Alkilados","colombian pop",0.863,0.756,0.796,-4.39
"Alkilados",NULL,0.863,0.756,0.796,-4.39
"All Good Funk Alliance","classic polish pop",0.955,0.765,0.641,-12.693
"All Good Funk Alliance",NULL,0.955,0.765,0.641,-12.693
"All Our Exes Live in Texas","korean dream pop",0.4875,0.2825,0.2985,-8.797
"All Our Exes Live in Texas",NULL,0.4875,0.2825,0.2985,-8.797
"All Saints","dance pop",0.664,0.631,0.407,-9.197
"All Saints",NULL,0.664,0.631,0.407,-9.197
"All Sons & Daughters","bubblegum pop",0.457,0.39,0.145,-7.915
"All Sons & Daughters",NULL,0.457,0.39,0.145,-7.915
"Allen Hinds","classic peruvian pop",0.639,0.439,0.302,-9.776
"Allen Hinds",NULL,0.639,0.439,0.302,-9.776
"Allen Toussaint","indie poptimism",0.361,0.611,0.485,-12.958
"Allen Toussaint",NULL,0.361,0.611,0.485,-12.958
"Allie X","k-pop",0.595,0.646,0.772,-6.709
"Allie X",NULL,0.595,0.646,0.772,-6.709
"Alligator Stew","shimmer pop",0.848,0.452,0.691,-7.99
"Alligator Stew",NULL,0.848,0.452,0.691,-7.99
"Allj","canadian pop punk",0.478,0.8140000000000001,0.318,-7.71
"Allj",NULL,0.478,0.8140000000000001,0.318,-7.71
"Allyawan","socal pop punk",0.759,0.6485000000000001,0.664,-5.1875
"Allyawan",NULL,0.759,0.6485000000000001,0.664,-5.1875
"Almafuerte","k-pop girl group",0.702,0.37,0.48,-5.284
